0:0:0:0:0:0:0:1 - - [23/May/2015:18:28:48 +0200] "GET /paws-and-claws/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2015:18:28:48 +0200] "GET /paws-and-claws/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2015:18:28:48 +0200] "GET /paws-and-claws/template/common/navBarStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2015:18:41:47 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 200 5775
0:0:0:0:0:0:0:1 - - [23/May/2015:18:41:47 +0200] "GET /paws-and-claws/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2015:18:41:47 +0200] "GET /paws-and-claws/template/common/navBarStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2015:18:41:47 +0200] "GET /paws-and-claws/css/styles.css HTTP/1.1" 200 3219
0:0:0:0:0:0:0:1 - - [23/May/2015:18:41:47 +0200] "GET /paws-and-claws/logo.png HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [23/May/2015:18:41:47 +0200] "GET /paws-and-claws/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2015:18:43:08 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 200 5773
0:0:0:0:0:0:0:1 - - [23/May/2015:18:43:08 +0200] "GET /paws-and-claws/logo.png HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [23/May/2015:18:43:13 +0200] "GET /paws-and-claws/registrazione.xhtml HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [23/May/2015:18:44:46 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 200 5775
0:0:0:0:0:0:0:1 - - [23/May/2015:18:44:46 +0200] "GET /paws-and-claws/logo.png HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [23/May/2015:18:44:48 +0200] "GET /paws-and-claws/registrazione.xhtml HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [23/May/2015:18:53:03 +0200] "GET /paws-and-claws/prova.xhtml HTTP/1.1" 500 3989
0:0:0:0:0:0:0:1 - - [23/May/2015:19:03:25 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 200 5775
0:0:0:0:0:0:0:1 - - [23/May/2015:19:03:25 +0200] "GET /paws-and-claws/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2015:19:03:25 +0200] "GET /paws-and-claws/template/common/navBarStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2015:19:03:25 +0200] "GET /paws-and-claws/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2015:19:03:25 +0200] "GET /paws-and-claws/logo.png HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [23/May/2015:19:03:25 +0200] "GET /paws-and-claws/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2015:19:04:54 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 200 5721
0:0:0:0:0:0:0:1 - - [23/May/2015:19:04:54 +0200] "GET /paws-and-claws/logo.png HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [23/May/2015:19:04:56 +0200] "GET /paws-and-claws/registrazione.xhtml HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [23/May/2015:19:23:24 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 200 5770
0:0:0:0:0:0:0:1 - - [23/May/2015:19:23:24 +0200] "GET /paws-and-claws/css/bootstrap.min.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [23/May/2015:19:23:24 +0200] "GET /paws-and-claws/template/common/navBarStyle.css HTTP/1.1" 404 1075
0:0:0:0:0:0:0:1 - - [23/May/2015:19:23:24 +0200] "GET /paws-and-claws/logo.png HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [23/May/2015:19:23:24 +0200] "GET /paws-and-claws/js/bootstrap.min.js HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [23/May/2015:19:23:37 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 200 5770
0:0:0:0:0:0:0:1 - - [23/May/2015:19:23:37 +0200] "GET /paws-and-claws/css/bootstrap.min.css HTTP/1.1" 200 117305
0:0:0:0:0:0:0:1 - - [23/May/2015:19:23:37 +0200] "GET /paws-and-claws/template/common/navBarStyle.css HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [23/May/2015:19:23:37 +0200] "GET /paws-and-claws/logo.png HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [23/May/2015:19:23:37 +0200] "GET /paws-and-claws/js/bootstrap.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [23/May/2015:19:23:50 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 200 5770
0:0:0:0:0:0:0:1 - - [23/May/2015:19:23:50 +0200] "GET /paws-and-claws/logo.png HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [23/May/2015:19:24:39 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/May/2015:19:24:41 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/May/2015:19:24:44 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/May/2015:19:24:46 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/May/2015:19:24:53 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 200 5772
0:0:0:0:0:0:0:1 - - [23/May/2015:19:24:53 +0200] "GET /paws-and-claws/logo.png HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [23/May/2015:19:28:21 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 200 5772
0:0:0:0:0:0:0:1 - - [23/May/2015:19:28:22 +0200] "GET /paws-and-claws/logo.jpg HTTP/1.1" 200 8689
0:0:0:0:0:0:0:1 - - [23/May/2015:19:31:46 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/May/2015:19:31:46 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/May/2015:19:31:47 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/May/2015:19:31:47 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/May/2015:19:31:48 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/May/2015:19:31:48 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/May/2015:19:31:48 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/May/2015:19:31:48 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/May/2015:19:31:49 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/May/2015:19:31:49 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/May/2015:19:31:52 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 200 5723
0:0:0:0:0:0:0:1 - - [23/May/2015:19:31:52 +0200] "GET /paws-and-claws/javax.faces.resource/common-style.css.xhtml?ln=css HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [23/May/2015:19:31:52 +0200] "GET /paws-and-claws/logo.jpg HTTP/1.1" 200 24373
0:0:0:0:0:0:0:1 - - [23/May/2015:19:31:52 +0200] "GET /paws-and-claws/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2015:19:31:52 +0200] "GET /paws-and-claws/template/common/navBarStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2015:19:31:52 +0200] "GET /paws-and-claws/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2015:19:31:52 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:49 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:49 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:50 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:50 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:50 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:50 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:51 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:51 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:51 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:51 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:52 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:52 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:53 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:53 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:53 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:53 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:53 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:53 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:53 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:53 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:54 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:54 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:54 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:54 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:55 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:55 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:55 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:55 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:55 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:56 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:56 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:56 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:57 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:57 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:57 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [23/May/2015:19:32:57 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/May/2015:19:33:00 +0200] "GET /paws-and-claws/index.xhtml HTTP/1.1" 200 5723
